Date,volume,opens,close
"Aug 18, 2020","26,043,227,672","12,251.90","11,991.23"
"Aug 17, 2020","28,227,687,027","11,895.66","12,254.40"
"Aug 16, 2020","20,583,375,490","11,866.69","11,892.80"
"Aug 15, 2020","23,354,924,400","11,768.70","11,865.70"
"Aug 14, 2020","24,237,958,589","11,772.66","11,768.87"
"Aug 13, 2020","27,522,199,497","11,588.41","11,784.14"
"Aug 12, 2020","25,064,548,486","11,404.60","11,584.93"
"Aug 11, 2020","27,039,782,640","11,881.65","11,410.53"
"Aug 10, 2020","26,114,112,569","11,662.26","11,878.11"
"Aug 09, 2020","17,489,608,833","11,737.33","11,675.74"
"Aug 08, 2020","17,572,057,837","11,604.55","11,754.05"
"Aug 07, 2020","23,132,312,867","11,778.89","11,601.47"
"Aug 06, 2020","23,400,740,340","11,749.87","11,779.77"
"Aug 05, 2020","24,411,254,471","11,203.82","11,747.02"
"Aug 04, 2020","21,250,197,042","11,246.20","11,205.89"
"Aug 03, 2020","20,271,713,443","11,043.77","11,246.35"
"Aug 02, 2020","27,410,067,336","11,758.76","11,053.61"
"Aug 01, 2020","26,075,670,303","11,322.57","11,759.59"
"Jul 31, 2020","23,160,469,766","11,110.21","11,323.47"
"Jul 30, 2020","22,857,247,901","11,099.83","11,111.21"
"Jul 29, 2020","24,617,249,715","10,912.95","11,100.47"
"Jul 28, 2020","28,766,551,142","11,017.46","10,912.82"
"Jul 27, 2020","35,359,749,590","9,905.22","10,990.87"
"Jul 26, 2020","20,507,998,997","9,680.23","9,905.17"
"Jul 25, 2020","16,610,070,933","9,539.49","9,677.11"
"Jul 24, 2020","16,552,768,325","9,585.51","9,536.89"
"Jul 23, 2020","18,146,399,002","9,527.14","9,581.07"
"Jul 22, 2020","16,532,254,884","9,375.08","9,525.36"
"Jul 21, 2020","18,069,581,956","9,162.51","9,374.89"
"Jul 20, 2020","13,755,604,146","9,187.22","9,164.23"
"Jul 19, 2020","12,939,002,784","9,158.01","9,185.82"
"Jul 18, 2020","12,252,601,475","9,151.18","9,159.04"
"Jul 17, 2020","13,944,570,749","9,131.81","9,151.39"
"Jul 16, 2020","15,713,967,523","9,191.98","9,132.23"
"Jul 15, 2020","15,844,731,575","9,241.90","9,192.84"
"Jul 14, 2020","18,085,038,362","9,238.70","9,243.21"
"Jul 13, 2020","17,519,821,266","9,277.20","9,243.61"
"Jul 12, 2020","14,452,361,907","9,241.06","9,276.50"
"Jul 11, 2020","13,249,910,444","9,277.51","9,240.35"
"Jul 10, 2020","16,860,035,605","9,273.36","9,278.81"
"Jul 09, 2020","18,000,702,524","9,427.99","9,277.97"
"Jul 08, 2020","19,702,359,883","9,253.02","9,428.33"
"Jul 07, 2020","13,839,652,595","9,349.16","9,252.28"
"Jul 06, 2020","17,889,263,252","9,072.85","9,375.47"
"Jul 05, 2020","12,903,406,143","9,126.09","9,073.94"
"Jul 04, 2020","12,290,528,515","9,084.23","9,132.49"
"Jul 03, 2020","13,078,970,999","9,124.84","9,087.30"
"Jul 02, 2020","16,338,916,796","9,231.14","9,123.41"
"Jul 01, 2020","15,971,550,355","9,145.99","9,228.33"
"Jun 30, 2020","15,735,797,744","9,185.58","9,137.99"
"Jun 29, 2020","16,460,547,078","9,140.03","9,190.85"
"Jun 28, 2020","14,560,870,760","9,048.46","9,143.58"
"Jun 27, 2020","17,273,093,144","9,167.82","9,045.39"
"Jun 26, 2020","18,341,465,837","9,260.99","9,162.92"
"Jun 25, 2020","18,616,048,626","9,314.13","9,264.81"
"Jun 24, 2020","18,961,716,076","9,632.15","9,313.61"
"Jun 23, 2020","17,006,433,272","9,644.08","9,629.66"
"Jun 22, 2020","21,104,009,514","9,300.92","9,648.72"
"Jun 21, 2020","15,324,301,169","9,330.93","9,303.63"
"Jun 20, 2020","17,130,541,557","9,290.96","9,332.34"
"Jun 19, 2020","19,632,223,107","9,410.29","9,288.02"
"Jun 18, 2020","17,770,083,003","9,481.57","9,411.84"
"Jun 17, 2020","20,177,709,879","9,533.78","9,480.26"
"Jun 16, 2020","21,565,537,209","9,454.27","9,538.02"
"Jun 15, 2020","26,699,704,768","9,386.04","9,450.70"
"Jun 14, 2020","18,991,732,746","9,477.55","9,386.79"
"Jun 13, 2020","17,564,322,315","9,480.74","9,475.28"
"Jun 12, 2020","22,610,564,515","9,320.69","9,480.84"
"Jun 11, 2020","30,247,143,440","9,870.08","9,321.78"
"Jun 10, 2020","25,706,567,601","9,794.12","9,870.09"
"Jun 09, 2020","23,717,842,783","9,774.36","9,795.70"
"Jun 08, 2020","21,486,346,312","9,760.06","9,771.49"
"Jun 07, 2020","25,015,250,846","9,653.00","9,758.85"
"Jun 06, 2020","20,438,419,222","9,664.90","9,653.68"
"Jun 05, 2020","23,509,628,646","9,800.22","9,665.53"
"Jun 04, 2020","25,921,805,072","9,655.85","9,800.64"
"Jun 03, 2020","25,007,459,262","9,533.76","9,656.72"
"Jun 02, 2020","39,137,252,109","10,162.97","9,529.80"
"Jun 01, 2020","35,198,901,068","9,463.61","10,167.27"
"May 31, 2020","27,773,290,299","9,700.11","9,461.06"
"May 30, 2020","32,722,975,141","9,438.91","9,700.41"
"May 29, 2020","32,896,642,044","9,528.36","9,439.12"
"May 28, 2020","34,367,073,114","9,184.94","9,525.75"
"May 27, 2020","32,740,536,902","8,837.38","9,181.02"
"May 26, 2020","29,584,186,947","8,909.59","8,835.05"
"May 25, 2020","31,288,157,264","8,786.11","8,906.93"
"May 24, 2020","32,518,803,300","9,212.28","8,790.37"
"May 23, 2020","27,727,866,812","9,185.06","9,209.29"
"May 22, 2020","29,810,773,699","9,080.33","9,182.58"
"May 21, 2020","39,326,160,532","9,522.74","9,081.76"
"May 20, 2020","36,546,239,703","9,725.33","9,522.98"
"May 19, 2020","39,254,288,955","9,727.06","9,729.04"
"May 18, 2020","41,827,139,896","9,675.69","9,726.57"
"May 17, 2020","40,084,250,663","9,374.93","9,670.74"
"May 16, 2020","36,164,766,408","9,333.24","9,377.01"
"May 15, 2020","48,158,802,327","9,734.29","9,328.20"
"May 14, 2020","56,426,907,637","9,271.33","9,733.72"
"May 13, 2020","45,558,144,023","8,805.39","9,269.99"
"May 12, 2020","42,142,717,533","8,610.39","8,804.48"
"May 11, 2020","57,119,858,802","8,755.54","8,601.80"
"May 10, 2020","63,325,279,337","9,591.17","8,756.43"
"May 09, 2020","46,566,121,841","9,840.91","9,593.90"
"May 08, 2020","51,780,748,042","9,936.16","9,842.67"
"May 07, 2020","61,112,700,562","9,261.90","9,951.52"
"May 06, 2020","49,371,886,931","9,007.44","9,268.76"
"May 05, 2020","43,148,462,663","8,912.83","9,003.07"
"May 04, 2020","45,718,796,276","8,895.74","8,912.65"
"May 03, 2020","47,101,785,174","8,983.61","8,897.47"
"May 02, 2020","40,134,388,683","8,869.06","8,988.60"
"May 01, 2020","44,068,389,997","8,672.78","8,864.77"
"Apr 30, 2020","66,964,629,541","8,797.67","8,658.55"
"Apr 29, 2020","60,201,052,203","7,806.71","8,801.04"
"Apr 28, 2020","33,187,959,921","7,796.97","7,807.06"
"Apr 27, 2020","36,162,144,725","7,679.42","7,795.60"
"Apr 26, 2020","33,070,154,491","7,570.14","7,679.87"
"Apr 25, 2020","32,941,541,447","7,550.48","7,569.94"
"Apr 24, 2020","34,636,526,286","7,434.18","7,550.90"
"Apr 23, 2020","43,500,782,316","7,121.31","7,429.72"
"Apr 22, 2020","33,249,153,866","6,879.44","7,117.21"
"Apr 21, 2020","32,589,741,511","6,879.78","6,880.32"
"Apr 20, 2020","37,747,113,936","7,186.87","6,881.96"
"Apr 19, 2020","31,311,210,215","7,260.92","7,189.42"
"Apr 18, 2020","32,447,188,386","7,092.29","7,257.66"
"Apr 17, 2020","32,513,423,567","7,116.55","7,096.18"
"Apr 16, 2020","46,783,242,377","6,640.45","7,116.80"
"Apr 15, 2020","32,288,311,031","6,845.56","6,642.11"
"Apr 14, 2020","34,110,434,052","6,843.28","6,842.43"
"Apr 13, 2020","38,619,308,647","6,965.62","6,845.04"
"Apr 12, 2020","35,759,567,632","6,858.07","6,971.09"
"Apr 11, 2020","31,222,085,946","6,867.44","6,859.08"
"Apr 10, 2020","43,622,840,992","7,303.82","6,865.49"
"Apr 09, 2020","34,815,139,178","7,337.97","7,302.09"
"Apr 08, 2020","37,563,249,549","7,179.28","7,334.10"
"Apr 07, 2020","44,243,482,668","7,273.64","7,176.41"
"Apr 06, 2020","46,896,904,615","6,788.05","7,271.78"
"Apr 05, 2020","29,510,409,856","6,862.54","6,791.13"
"Apr 04, 2020","33,185,988,584","6,738.38","6,867.53"
"Apr 03, 2020","38,976,504,903","6,797.40","6,733.39"
"Apr 02, 2020","47,660,646,124","6,606.78","6,793.62"
"Apr 01, 2020","40,346,426,266","6,437.32","6,606.78"
"Mar 31, 2020","32,786,468,812","6,430.61","6,438.64"
"Mar 30, 2020","37,101,651,525","5,925.54","6,429.84"
"Mar 29, 2020","28,373,690,931","6,245.62","5,922.04"
"Mar 28, 2020","34,885,225,901","6,467.25","6,242.19"
"Mar 27, 2020","34,585,598,367","6,719.39","6,469.80"
"Mar 26, 2020","35,319,797,642","6,675.17","6,716.44"
"Mar 25, 2020","44,590,107,888","6,738.72","6,681.06"
"Mar 24, 2020","48,221,910,672","6,436.64","6,734.80"
"Mar 23, 2020","46,491,916,000","5,831.37","6,416.31"
"Mar 22, 2020","40,099,664,740","6,185.56","5,830.25"
"Mar 21, 2020","42,494,390,880","6,206.52","6,185.07"
"Mar 20, 2020","54,442,976,103","6,191.65","6,198.78"
"Mar 19, 2020","51,000,731,797","5,245.42","6,191.19"
"Mar 18, 2020","37,878,801,016","5,227.11","5,238.44"
"Mar 17, 2020","38,622,642,935","5,002.58","5,225.63"
"Mar 16, 2020","45,368,026,430","5,385.23","5,014.48"
"Mar 15, 2020","33,997,889,639","5,201.07","5,392.31"
"Mar 14, 2020","36,154,506,008","5,573.08","5,200.37"
"Mar 13, 2020","74,156,772,075","5,017.83","5,563.71"
"Mar 12, 2020","53,980,357,243","7,913.62","4,970.79"
"Mar 11, 2020","38,682,762,605","7,910.09","7,911.43"
"Mar 10, 2020","42,213,940,994","7,922.15","7,909.73"
"Mar 09, 2020","46,936,995,808","8,111.15","7,923.64"
"Mar 08, 2020","39,973,102,121","8,908.21","8,108.12"
"Mar 07, 2020","36,216,930,370","9,121.60","8,909.95"
